hidden_layers,num_neurons,emb_dims,batch_size,train_accuracy,train_loss,val_accuracy,val_loss
1,16,100,16,0.8177094459533691,0.418424516916275,0.8713119626045227,0.3146832287311554
2,16,100,16,0.8215096592903137,0.4483066499233246,0.8462413549423218,0.3765702545642853
1,32,100,16,0.902624785900116,0.25286707282066345,0.9217278957366943,0.20052935183048248
2,32,100,16,0.9036169052124023,0.26484841108322144,0.9327918887138367,0.19857794046401978
1,64,100,16,0.9369272589683533,0.18037015199661255,0.9480147361755371,0.141211599111557
2,64,100,16,0.9440567493438721,0.16861280798912048,0.896029531955719,0.2705482840538025
1,16,50,16,0.8328765034675598,0.44087302684783936,0.8463590741157532,0.34290996193885803
2,16,50,16,0.8567873239517212,0.36069875955581665,0.8981088995933533,0.2847817540168762
1,32,50,16,0.8849691152572632,0.29195988178253174,0.9188245534896851,0.21047234535217285
2,32,50,16,0.9359351396560669,0.18744269013404846,0.9443267583847046,0.15673397481441498
1,64,50,16,0.9163457751274109,0.23145665228366852,0.9361268281936646,0.17936080694198608
2,64,50,16,0.9333120584487915,0.19263353943824768,0.9518204927444458,0.14030051231384277
1,16,100,4,0.8212574124336243,0.4269335865974426,0.8551475405693054,0.3340042531490326
2,16,100,4,0.8314640522003174,0.4234965145587921,0.8735091090202332,0.332543283700943
1,32,100,4,0.9196751117706299,0.216865673661232,0.9332627058029175,0.17117935419082642
2,32,100,4,0.9122093319892883,0.24816828966140747,0.939069390296936,0.18318437039852142
1,64,100,4,0.9362714886665344,0.18157128989696503,0.9532721042633057,0.13376057147979736
2,64,100,4,0.9381210803985596,0.18353964388370514,0.964924693107605,0.10159505903720856
1,16,50,4,0.8392661809921265,0.39243051409721375,0.8764908909797668,0.2909751534461975
2,16,50,4,0.8606715798377991,0.35406965017318726,0.8973242044448853,0.268560528755188
1,32,50,4,0.8850868344306946,0.2900985777378082,0.9164312481880188,0.21202298998832703
2,32,50,4,0.8967564105987549,0.2809756100177765,0.9306732416152954,0.18734051287174225
1,64,50,4,0.9530359506607056,0.1410912126302719,0.9626883268356323,0.09974858909845352
2,64,50,4,0.9606194496154785,0.12137335538864136,0.9739877581596375,0.06868892163038254
1,16,100,1,0.8735349774360657,0.34387561678886414,0.904739499092102,0.24276259541511536
2,16,100,1,0.8493719696998596,0.3944300413131714,0.8758239150047302,0.3031446933746338
1,32,100,1,0.914445698261261,0.23194149136543274,0.9374215602874756,0.16970959305763245
2,32,100,1,0.9025071263313293,0.26934826374053955,0.9327526688575745,0.18770623207092285
1,64,100,1,0.9464276432991028,0.1661260426044464,0.9378530979156494,0.1651768833398819
2,64,100,1,0.9539943933486938,0.14204762876033783,0.9749293923377991,0.07524961978197098
1,16,50,1,0.8654806613922119,0.3639245629310608,0.8974811434745789,0.2588801681995392
2,16,50,1,0.8416034579277039,0.39907777309417725,0.8865740895271301,0.29428210854530334
1,32,50,1,0.9174219369888306,0.2281019538640976,0.9322034120559692,0.17781022191047668
2,32,50,1,0.9254931211471558,0.22655296325683594,0.9481716752052307,0.14740023016929626
1,64,50,1,0.9376166462898254,0.18040995299816132,0.949780285358429,0.1386396437883377
2,64,50,1,0.926266610622406,0.24704523384571075,0.9689265489578247,0.09145399928092957
